Epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.6838583900908793,0.6443181818181818,0.6730861062845908,0.5828512396694215
2,0.6525820944920059,0.709529958677686,0.6236993224167626,0.7650826446280992
3,0.5766513318562311,0.7903667355371901,0.519406260439187,0.8055785123966942
4,0.4679181186128254,0.8143078512396694,0.42210688482631337,0.8243801652892562
5,0.398171439939294,0.8305268595041322,0.3766434486739892,0.8341942148760331
6,0.36529335404230545,0.8398760330578512,0.353892320394516,0.8397727272727272
7,0.345781484344774,0.8464101239669422,0.3374055657505004,0.8507231404958677
8,0.3317556283444412,0.8540030991735538,0.32466068124968156,0.8558884297520661
9,0.3199761702255769,0.8583419421487604,0.3152953830139696,0.8574380165289256
10,0.3098027848261447,0.8621642561983471,0.30535951212417983,0.8610537190082644
11,0.3023660705601873,0.8668388429752066,0.30019236251342396,0.865599173553719
12,0.294668099161022,0.8703512396694215,0.2901352068116842,0.8707644628099174
13,0.2880120275680684,0.8732438016528926,0.28403268828372324,0.8728305785123966
14,0.2828737110638421,0.8765495867768595,0.27956513732918037,0.8743801652892562
15,0.2782073563041766,0.8793130165289256,0.2748534078686691,0.8791322314049587
16,0.2734367040932671,0.8820764462809917,0.2705624535556667,0.8817148760330579
17,0.27080695127898996,0.8839359504132231,0.26773521144035434,0.8832644628099173
18,0.26830729364363615,0.8855888429752066,0.2659777530707604,0.8819214876033058
19,0.26633433961917546,0.8868285123966942,0.2639340874823657,0.8829545454545454
20,0.2640743052663882,0.8879132231404959,0.2634084450065597,0.884400826446281
21,0.261897993617314,0.8888946280991735,0.25994303879166436,0.8847107438016529
22,0.26078932417079437,0.8902892561983471,0.25953972053921914,0.8855371900826446
23,0.25993888272234233,0.8898243801652893,0.2665283560999169,0.8827479338842975
24,0.25788618078655445,0.8922262396694215,0.25608295904210776,0.8886363636363637
25,0.2568320288145838,0.8921487603305785,0.266346628606812,0.8834710743801653
26,0.2560997519365027,0.8924586776859504,0.2539875521640147,0.8896694214876033
27,0.2544291580880969,0.893956611570248,0.2584014388155346,0.8876033057851239
28,0.2535918951280846,0.8947572314049587,0.25061686339457173,0.8939049586776859
29,0.25249844720540954,0.8941373966942149,0.25559071334432965,0.890599173553719
30,0.2502520108764822,0.8953512396694215,0.24795081349443798,0.8945247933884297
31,0.24810999146670348,0.8956095041322314,0.24759366820173814,0.8915289256198347
32,0.24717241518261018,0.8963842975206612,0.2460125814784657,0.8929752066115703
33,0.24686648285339685,0.8959194214876033,0.24725816717817764,0.8915289256198347
34,0.2436354485301932,0.8984245867768595,0.24279007749124007,0.8961776859504132
35,0.2433318115955542,0.8987345041322314,0.2547917334255108,0.8883264462809918
36,0.24057375235744743,0.8994059917355371,0.24308393691196914,0.8949380165289256
37,0.2394460509261809,0.8995609504132231,0.23811389355620077,0.8971074380165289
38,0.2373847380773095,0.9013171487603305,0.24088096830470504,0.8946280991735537
39,0.23709566601790671,0.9015237603305785,0.23415427129130717,0.8997933884297521
40,0.23507682969254895,0.9022985537190082,0.23285062037223628,0.8992768595041323
41,0.23294672320696932,0.9025051652892562,0.2343237673448137,0.9006198347107438
42,0.2324057797016191,0.9018078512396694,0.23668766780333086,0.8986570247933884
43,0.23065998117046907,0.9037706611570248,0.2371483087785973,0.8974173553719008
44,0.22856511155928463,0.9042097107438016,0.22770349553301314,0.9024793388429752
45,0.22793922877508746,0.9046229338842975,0.22705535199031357,0.9035123966942149
46,0.22521425784865687,0.9053460743801653,0.22709000243628322,0.9022727272727272
47,0.2257319925614625,0.9047004132231405,0.22580353895987362,0.9025826446280992
48,0.22446284398805996,0.9052427685950413,0.22539753608467164,0.9026859504132232
49,0.22336651735808238,0.9055010330578512,0.22487942472962308,0.9018595041322314
50,0.22359069077190288,0.9046745867768595,0.23001297268985718,0.9003099173553719
51,0.22214967689730905,0.9054493801652893,0.22662130544993503,0.9008264462809917
52,0.22084376855083734,0.9074380165289256,0.22556054572428555,0.9022727272727272
53,0.22131768133768365,0.9051394628099173,0.22149697928881842,0.9054752066115702
