Epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.4391578322599742,0.7919679752066116,0.29324107086362916,0.8695247933884298
2,0.29804660495647717,0.8760072314049587,0.27199069291106925,0.8841942148760331
3,0.2693647516414154,0.8897727272727273,0.23932547150564587,0.8986570247933884
4,0.254501790731899,0.8955578512396695,0.22326291873435344,0.9078512396694215
5,0.2545709265041942,0.8940340909090909,0.22060562864808012,0.906301652892562
6,0.2429953319105235,0.8989927685950413,0.2133985444041323,0.9121900826446281
7,0.2382277612351189,0.9014979338842976,0.21659933072476348,0.9087809917355372
8,0.23300456706403702,0.9014979338842976,0.21300071012382665,0.9118801652892562
9,0.23150196886998564,0.903202479338843,0.2054731170008005,0.9130165289256198
10,0.2297384029208136,0.9042097107438016,0.20924069147464658,0.9138429752066116
11,0.22552637593312697,0.9067407024793388,0.21770293764339005,0.9097107438016528
12,0.22508658078337504,0.9066115702479339,0.20546945574855016,0.9142561983471075
13,0.22383064025443447,0.9071539256198347,0.20869410565076782,0.9135330578512396
14,0.2207663116376262,0.9097365702479339,0.19954420069525064,0.9162190082644628
15,0.22268159646879543,0.9073605371900827,0.20198033077657715,0.9142561983471075
16,0.21849191283637828,0.9104080578512397,0.20085744141054548,0.9162190082644628
17,0.2174388600775033,0.909297520661157,0.2039501721701346,0.9153925619834711
18,0.2160827098922296,0.9101497933884297,0.20150348384025668,0.915702479338843
19,0.2184749399150206,0.9088326446280992,0.19781376724400795,0.915599173553719
20,0.21439301356796392,0.912474173553719,0.19706498931262117,0.918698347107438
21,0.21488117608280222,0.9118801652892562,0.20209981848385708,0.9216942148760331
22,0.2143921173924257,0.9119576446280991,0.19546880076739415,0.9177685950413224
23,0.21209342822063068,0.9131456611570248,0.1946116917882084,0.9193181818181818
24,0.21351005574149534,0.9116219008264462,0.19317960712042723,0.9208677685950413
25,0.20817976009008313,0.9145661157024794,0.19084781102897708,0.9227272727272727
26,0.2105581117008836,0.9134555785123967,0.19691669502534156,0.9211776859504133
27,0.2105831959153995,0.9130681818181818,0.1875010299534837,0.9226239669421488
28,0.20637303029210113,0.9160123966942149,0.1899936173080413,0.9179752066115703
29,0.20778136537833647,0.9153150826446281,0.18930051203601617,0.9228305785123967
30,0.20823195894395025,0.9147469008264463,0.1864060099952477,0.9191115702479339
31,0.20657775510441173,0.9164772727272728,0.1852535007906354,0.9239669421487603
32,0.20280121490975056,0.9170454545454545,0.18933451808681173,0.9222107438016529
33,0.20479482286725162,0.9163739669421488,0.18314328398093704,0.9243801652892562
